Country,City,Original,Job_ES,Job_EN,Position,Link
Spain,Madrid,Administrativo Contable,Administrativo contable,Accounting administrator,High,https://es.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C1Y87cEop2ZnF4pe1hmIYlAC4qlDNXVkyKYp_xHriKgeSFJvBDnZQN2CRTwOmjRAVq3KZjKFgh4t462DfIUQ3bzn_r3ayIxdLrc8mGC8TpqSvLrxiEBKKwzAbB79iLNA3HtqGxcIu_OZKJOW6ESp3j7iznL035OqdsyDlQyVlzvSX2UnMc0gX97YvKQDcaFg4u1z8CUpVeG4oTwEoyizX3Q_msJNgibtF8RKejhn57k1Yn8GbtkcBLQj141rdPw7HFab625Hnzg3pNmyJd9colSQBdKRTG5lkecNMNaQQWLLltK5aUDQ-vKO46YuAHNgLcr7poMNxUP2XQEgdhDl3tSDDdnMH5pdaAjolIfrUJ6qWsbZ9VqpTs-DrJO7BU_2BcsTYDVX0ioxmcrKHuJGUOyYTYDHLVghcTfiNhp8r06SXj4g4dYu-1iG0fxaB7BVDf_hQqbbfvv8ctpz3hlG8psPCoHCiqMbwa2r7xtPuUlmdRjRtL5I_kEaf38bPhbDQCp_QmcCO6jUtV82FdUXX1KmeWOWtxIXJ5EQ27KddBCUn-47gLVjA1tKGdHvna125F_eaC22mVzJcJnuaIr4ubQ3YNHSyMf8slCxfRH2YufKfWFv-sWQWHm1IIq6Lz0Xu1O4x_qx0hhpNFXsS1KUuYAwSCONHQffHZq2v8A_iD84ysMx1lbYKUXSnr0iOgX6E=&xkcb=SoAl6_M3pV-gt6z47h0PbzkdCdPP&camk=nUmJqO2E8rgVW-xYs6T6ug==&p=2&fvj=0&vjs=3&tk=1jclrbr6cha9587e&jsa=1583&oc=1&sal=1
Spain,Madrid,Gerente Cobranza,Gerente de cobranza,Collections manager,High,https://es.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AVx0HTMHnargmd81r_tx6Fb1gODHuAb0vNfzmFpwaRUYtezvQaY4FYkg-UUCdt8RiHwT5vcvyrCJqVUY42bsIp3hn4OCZ5bpE02vhhg7vSCrOTdGjkbTFg6O9A3JSDoFcn0I0uGY5iejVwa5mV1gjIdLcHoSrmjSboZpCN3qNfaDMEJ11Gnd73OrTM7tc7u5Y3JSXRI6sWjIIM7BcJ0uM3Dh2ilJOOrOgV40tRMeJWcBP-I9-3P9h4j0gz1u9rAy04X6AI-ft8isVA1z19DXUt2uOu4absIOgj3it1K6Y4kXWuVe3YEuvWtUjdSR3Gu-0mPdM9WpeTeBV5gHXUtN4QOsegPHEFyvUCw46NaMzNj2ivJVQGRqpvHWGyDjM9CKqpSk0lrPABcqUc21qwny2GCF_0yuxk1Qhe3pceq0z264JC54xqlE-pyVhOGnsCXuU1VEGyigNo9rWTQHETX8cqozazVrfJrB3EEqcQbnrodW0H-t6qdkptb_x3NLsJkg_o3m8QH7U2vnC23iCfrBf6JutP9_v0mf88Qoz6mZK3tDUCd-wCpSef4qFPy5rrU5VawIBS06eSb3yhxxVVfD_5FYIBNkdCAdXReHgYVigbrrOBquBsoHHtq5Ubj8ydxBIPota6O4Ge-Kdt9mds-K_ArHMnEAe4C1UvHQhZ4g8QAA==&xkcb=SoAM6_M3pV-gt6z47h0NbzkdCdPP&camk=ethIe0s0hecv_lsTDqHk4Q==&p=4&fvj=0&vjs=3&tk=1jclrbr6cha9587e&jsa=1583&oc=1&sal=1
Spain,Madrid,Asesor Inmobiliario en Century 21 ABC Gallery. Chamberí,Asesor Inmobiliario,Real estate advisor,High,https://es.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Af50hARrMOzjLhyhwwl80I3qFkZhG6g7RBeGd_KwjA5TR36Ewe0riuLuT-qXNFW-wI9oUpy8ixACY2AMNWbfyDpZK7tciVoFoE1SnGqUCwqnUtbvcMW_FeXnxupehX5sOj7rKPLQQ_ISbMpZ_DETSCxKm0KcWXbguOf9zCsXscxOHsZxavFCAgwOCpQmZWXFevjhnlf1kzxrSohgbbanm_b84kSueOJ95AwvjdYtX5rvBbcAvzt8dg1scZYEe8OC9j6mitkQd-AXHFELoA0W4ZEgf5DE5NdgqY3DUjuodBXuZEINz4yxWv_xpmOaf1uJr6IMTASo2E3QzuRnBD9Wi-Ysk6BYgcfHwZwbL7MMt_bGPccljDsoeroUcD5oqiiyb-H84BEfzcN09kyRDIY6CiUgUtXMytM01rHITD8Gm8P94uxNj5Ol9e73dFH1kU61L1uuKf7GnVCGowYPMSjg8Z4Aaxc7u-Z5uo6xKb-avig1upQIrYvbL1apkj09pQmDKh-2mYKkhN1H6WZws2cYje-KzaXUlkynI8jQr7Bc-mBL2t-hnLeTraW0AlEEV3iDhrvVTmGS7AMJA_UbJrG2vtlTjUsppyHXyTUdNl9nz_maCrHsnJz7j2AAmkWS_K1UnAFbE7mdU-43KcHMZU5fuPmEtYoW7ckvlb4DEiECn0H271HYRiGRY3rXshRarpHkYiPR_yCbDmwJH-DmoMApufOWqjH1wcfkQDr1dpC5Kwtg==&xkcb=SoCR6_M3pV-gt6z47h0ObzkdCdPP&camk=UoKtGZLa3XLnwEYm1wlhsA==&p=3&fvj=0&vjs=3&tk=1jclrbr6cha9587e&jsa=1583&oc=1&sal=0
Spain,Madrid,Maestro as de educacion infantil in Irlanda,Maestro de educación infantil,Early-childhood education teacher,High,https://es.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BCWQnWFDJ3yqRlQhqmkz6PtvTW78Jkxa4QSjlHoOmS4sdeXHdJKTbAEdoyxPkGi8dg24tBNz7D7fCz5Y8cYzrl6lczL740WXl9saYToUzP0IRWgLnN6W0touhh8gsKoSuD4HqMfsMcoyyaoY_Gq1Ey-k-UFQaO2D0P5NjfF6solGMGp2pOL1eLSMbU0H2P3jTwcVTQV4-R-mcxrjaTRLCUfwQwrpR-ua95Kq29WjXy3Mwi6Pri3PP3TfrCL9WqiMB8hi33drCAMzbFb9PKuHdHOumtDAUmFOKz9ADlrqMhmG2M-rrodoefLz8fuVxYp1FQMruMXO-96FG6Bvzmeyie5zKCl_cE9Af_ui3rWIGiyyAXyU5tnLjShLp8bdBWd0vjx1jvyTviHPAGPoVMG6vHcKQ9vYGPSCUgm-v85Jal6nDDwN73FHPnRznhjlllZs_lVvRqXi79cdvuJRFO_6GQ7kZKbD8MUSq8olyYGwza7wrvOcT0ZcabmVZX6mbLdhrh-UR6fBEP0qqodmcHEupRcCr0F1wIgOear-DmgmfB90ssGBxLV-bJlRdx42mkeSGGObjz979Po0ffoZo4VjpKeJEDI-hqhAqXuboGkPUbCnAtMtv6TkytHCVkDgzZlWO8eigqeR3-8skKTkG10b45zEyjssAnDvKP_p5oUrFbG0Oca0WzlRPavoAiVJqX2RrV9cbEa-HCnoN22dAS6lzaqjzOfj6O_CEtfyuHf4fIzP8gK5exWMRctw0OObJ8y3RAIGnm_0nthaLQ7KJoU2IkfKeJ7EXEjPBAQ0WmEbdQGPScvGTfXqCqR-c-TVxbR6MgkXwq4NNZ83gRysendYPciyc4lkPC8iyE8bWzmgn88uI-FfGvQlrwWk-2l07o6lar8Jn5le33KpC1OwCnhkTZ4LofvezUe9P1pwFA5CNiaWShll-zxJUtoXJ26JWR2mbAbPleRgx-5OGYHt-024Kb&xkcb=SoC36_M3pVzRPhzBKZ0LbzkdCdPP&camk=UoKtGZLa3XIBdMgPq9atSw==&p=0&fvj=0&vjs=3&tk=1jcltnn2rhbdo87s&jsa=7744
Spain,Madrid,Director/a de proyecto IT Senior (f/m),Director de proyecto IT Senior,IT Senior Project manager,High,https://es.indeed.com/rc/clk?jk=4a486d55f56c265e&bb=5FZy2IbUujd0nmcOUfIifHa1Ub_5_kolxea2cGdtsHVY732toUuLccmYB2M-ku6G7HWivR6OQB_lVJyzxnxt6kAV9dT0byjQZ4rmYywnDFaMVT5C-5q34MqpukQwlt1ZWUTMIyoGuJE%3D&xkcb=SoCN67M3pVzdanzCQx0IbzkdCdPP&fccid=d933f6f65ef5d0df&vjs=3
Spain,Madrid,Responsable de Turno Tienda,Responsable de turno de tienda,Store shift manager,High,https://es.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DuShZFrBBwuUx2lryBk29dyLhub_QW7mmKdyA2NeWrtXPotrUQbzO4R0RIMWLTKp47GyZgo3n9LFqFgtiaPQdhlIvxnU8veaEAArtZxdzqVWWhnDiBgYIq-iSkLpHhye4ns3F-sgRwglwlTBm2hHhiE1HWFdXFaaM6iUsf39diyST7EujHN7pFOafgREdYlAhmI8qUdex4knYhRlsEp-Vw0kLTfJ3bGBFDduYMwwnQ_wya8esUp10x8SdRb37vdjSTmzZdU6YdeZJtBbdUIGN2AxMN7Tca-rXsehbVgDlSEKPMfXogpjD5vC7bc1Y4EJVfB5-3-ofkqdihAFMdaHPVzSrIOnFC1P54XWycgzMj6w1de_Q6LRis9UITtNF5nfCURELpHOQF93L7jKSRVmzti0JwujWxOXMahnB4CiojbcHVPUeJ3gDZqfOvqDgF0GFCSYDZBFGJwH96QQ3UMatkYh8yzV2Nn0pfhYZTUm_uSDt3PflIBlsARF1R0KWpQgPmIIxKrVRpL99qugvyVta_3SQsNWTnIwmU0a7XPJHXYna_bnzj6fo_VxhjNrXzRdU18zj43P6GD7UlbCF4Rd59YyGSY2a3oKXtPlbXhNmIWymrfH0nDZGxRxevEuRNV2hKJekhycjARrykDDGE6R0QeON2QFpL5oPjK5Bmzu-Xb5FG6mLQCzbsCqS8jh2bC6kV5plMR4vEGeOEmlRH2z4Jpw2Lk22MeFZAABJVKEOf-aGEnIbdn2jVSHRD8MEh42YWV_2Q0UavsK2SCNt6gNs5BPE7krQI53gHxZOKRbNumYI7QgCE6HPyIgE55FxC9ASNs8_iSmEqwiUyy8IBgg34vmWhQXB7UTT84AP0YQkDagMaPn4PW4hFP8nAaQr4Yes=&xkcb=SoDf6_M3pWJICRTCLh0ObzkdCdPP&camk=4HOcmqOLYrCmUMQij-8hjA==&p=5&fvj=0&vjs=3&tk=1jcm0hubuhb9u86v&jsa=4322&oc=1&sal=0
Spain,Madrid,Documentalista de Archivo,Documentalista de archivo,Archive documentarist,High,https://es.indeed.com/rc/clk?jk=cc4777da32dc4008&bb=h8KoXg3QCg5HwFbS0SMTymvpy0lelExTTqJnAkEi7e54FCKgerljY8RegpVMWo8Hxc68J5zQ6ceNBvbcKZn8BbRqlQsmJEGUsIxlvdOTnjjLRroMay2MVV97ZHjvi7Kq&xkcb=SoBn67M3pWK6IWTCNB0JbzkdCdPP&fccid=424318ee24770221&vjs=3
Spain,Madrid,Especialista en gestión de riesgos y de seguridad de la información,Especialista en gestión de riesgos y de seguridad de la información,Risk management and data security specialist,High,https://es.indeed.com/rc/clk?jk=cef148c9eac5c5b5&bb=VrXylr1tAnItROvzQP8H2hF8CFbYkWZvT4rogx6k3CuOehUGcvDVBohfG-Dqdxb6By-DrSv5mpwWoQ-zadfg9UOl8qO1VTXaE1PjrtwyvHmx0haZicOp_gOKc6hLUWE5&xkcb=SoDx67M3pWLWmXzCNB0MbzkdCdPP&fccid=8e44bab6c44018d7&vjs=3
Spain,Madrid,Psicólogo/a - Madrid,Psicólogo,Psychologist,High,https://es.indeed.com/rc/clk?jk=36171f8feb2fb57f&bb=VrXylr1tAnItROvzQP8H2j6AaSaGbp-JUVHCZ85UiufDQGg0-0Ba8Pq0B2eW_axnAP0AzwKVb73xIcLhN9VFVSlCXflENR8qhFv3a7qGrJhI4EYr-dzLBxNZth8To63d&xkcb=SoCF67M3pWLWmXzCNB0AbzkdCdPP&fccid=1ed82b75e5a2a528&vjs=3
Spain,Madrid,Director de Operaciones,Director de operaciones,Director of operations,High,https://es.indeed.com/rc/clk?jk=2ad8d131833d7ca5&bb=djIw-uuFjiqMKHXvY4qoG5iQ0H8stGCwP7I7He9oN8bFZb2gX4uQhXrNOfGij4jrtFW4X4Gw8fZFpDhOmx11nSsSlbgggdtFJ9lCsGUzqherL2vMSu1MVBcuAkpV4tk1&xkcb=SoAv67M3pWLicWz42B0NbzkdCdPP&fccid=59aa2c3f1e35e769&vjs=3
